sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
0,0.54296875,0.76953125,0.2265625,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
1,0.568359375,0.787109375,0.21875,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
2,0.61328125,0.8984375,0.28515625,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
3,0.724609375,0.953125,0.228515625,119,256,128,0,0,0,0,0,0.000896306504728379,0,0
4,0.564453125,0.771484375,0.20703125,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
5,0.689453125,0.900390625,0.2109375,136,256,128,0,0,0,0,0,0.000896306504728379,0,0
6,0.693359375,0.90625,0.212890625,121,256,128,0,0,0,0,0,0.000896306504728379,0,0
7,0.546875,0.80078125,0.25390625,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
8,0.685546875,0.90234375,0.216796875,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
9,0.595703125,0.861328125,0.265625,162,256,128,0,0,0,0,0,0.000896306504728379,0,0
10,0.62890625,0.876953125,0.248046875,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
11,0.68359375,0.8984375,0.21484375,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
12,0.634765625,0.87109375,0.236328125,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
13,0.736328125,0.939453125,0.203125,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
14,0.7890625,0.916015625,0.126953125,99,256,128,0,0,0,0,0,0.000896306504728379,0,0
15,0.75390625,0.94921875,0.1953125,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
16,0.4765625,0.7890625,0.3125,168,256,128,0,0,0,0,0,0.000896306504728379,0,0
17,0.58203125,0.806640625,0.224609375,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
18,0.837890625,0.984375,0.146484375,87,256,128,0,0,0,0,0,0.000896306504728379,0,0
19,0.646484375,0.892578125,0.24609375,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
20,0.701171875,0.9140625,0.212890625,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
21,0.583984375,0.83203125,0.248046875,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
22,0.693359375,0.93359375,0.240234375,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
23,0.69921875,0.94140625,0.2421875,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
24,0.697265625,0.94921875,0.251953125,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
25,0.583984375,0.80078125,0.216796875,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
26,0.62109375,0.853515625,0.232421875,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
27,0.58984375,0.826171875,0.236328125,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
28,0.775390625,0.96875,0.193359375,104,256,128,0,0,0,0,0,0.000896306504728379,0,0
29,0.58984375,0.8515625,0.26171875,156,256,128,0,0,0,0,0,0.000896306504728379,0,0
30,0.595703125,0.83984375,0.244140625,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
31,0.5625,0.84765625,0.28515625,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
32,0.56640625,0.802734375,0.236328125,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
33,0.75,0.962890625,0.212890625,118,256,128,0,0,0,0,0,0.000896306504728379,0,0
