sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
0,0.54296875,0.8515625,0.30859375,168,256,128,0,0,0,0,0,0.000896306504728379,0,0
1,0.568359375,0.818359375,0.25,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
2,0.61328125,0.85546875,0.2421875,137,256,128,0,0,0,0,0,0.000896306504728379,0,0
3,0.724609375,0.9609375,0.236328125,132,256,128,0,0,0,0,0,0.000896306504728379,0,0
4,0.564453125,0.833984375,0.26953125,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
5,0.689453125,0.900390625,0.2109375,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
6,0.693359375,0.896484375,0.203125,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
7,0.546875,0.8125,0.265625,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
8,0.685546875,0.91015625,0.224609375,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
9,0.595703125,0.822265625,0.2265625,153,256,128,0,0,0,0,0,0.000896306504728379,0,0
10,0.62890625,0.869140625,0.240234375,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
11,0.68359375,0.896484375,0.212890625,126,256,128,0,0,0,0,0,0.000896306504728379,0,0
12,0.634765625,0.822265625,0.1875,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
13,0.736328125,0.92578125,0.189453125,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
14,0.7890625,0.970703125,0.181640625,121,256,128,0,0,0,0,0,0.000896306504728379,0,0
15,0.75390625,0.935546875,0.181640625,128,256,128,0,0,0,0,0,0.000896306504728379,0,0
16,0.4765625,0.7734375,0.296875,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
17,0.58203125,0.845703125,0.263671875,161,256,128,0,0,0,0,0,0.000896306504728379,0,0
18,0.837890625,0.984375,0.146484375,93,253,127,1,8,8,0,8,0.000896306504728379,0,0
19,0.646484375,0.849609375,0.203125,130,256,128,0,0,0,0,0,0.000896306504728379,0,0
20,0.701171875,0.767578125,0.06640625,44,124,62,0,0,0,0,0,0.000896306504728379,0,1
21,0.583984375,0.806640625,0.22265625,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
22,0.693359375,0.939453125,0.24609375,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
23,0.69921875,0.892578125,0.193359375,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
24,0.697265625,0.873046875,0.17578125,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
25,0.583984375,0.783203125,0.19921875,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
